X,Y,Z,H,S,L,R,G,B
0.05162299,0.4000001,0.05830438,0.6153384,0.08496732,0.7,0.6745099,0.6901962,0.7254902
0.04673662,0.7411765,0.03924449,0.6388333,0.09090909,0.8705882,0.8588235,0.8627451,0.8823529
-0.280252,0.4549019,-0.6396368,0.06572296,0.7841727,0.727451,0.9411765,0.682353,0.5137255
-0.3925383,-0.2470588,-0.6590865,0.08549211,0.7916667,0.3764706,0.6745098,0.3843138,0.07843137
-0.2283103,0.4039216,-0.6214074,0.05603821,0.7236843,0.7019608,0.9176471,0.6313726,0.4862745
-0.4163885,-0.6509804,-0.2509458,0.1636772,0.6404494,0.1745098,0.2862745,0.282353,0.06274511
-0.6369445,-0.1921569,-0.7465772,0.1124146,1,0.4039216,0.8078432,0.5450982,-4.81512E-08
-0.7485431,0.007843137,-0.6510566,0.1360678,0.9920948,0.5039216,0.9960784,0.8156865,0.01176473
-0.4888035,-0.2431372,-0.6946239,0.09759407,0.8756476,0.3784314,0.7098039,0.4352941,0.04705885
0.04069516,0.6392157,0.05306377,0.604125,0.08695653,0.8196079,0.8039216,0.8156863,0.8352941
-0.02991071,0.7921569,-0.01728567,0.1666,0.05660377,0.8960785,0.9019678,0.9019608,0.8901961
-0.1514592,0.1960785,-0.1391623,0.1317302,0.2097561,0.5980393,0.682353,0.6470588,0.5137256
-0.5887269,-0.1960784,-0.7357786,0.1074021,0.9609756,0.4019608,0.7882353,0.5137256,0.01568628
0.0365171,0.4078431,0.06961022,0.5768923,0.08609272,0.7039216,0.6784313,0.7058823,0.7294118
0.09441233,0.6078432,0.1469823,0.5908727,0.22,0.8039216,0.7607843,0.8,0.8470588
0.0391457,0.6156863,0.05104337,0.604125,0.08163265,0.8078431,0.7921569,0.8039216,0.8235294
0.08867801,0.5607843,0.1536692,0.5833,0.2142857,0.7803922,0.7333333,0.7803922,0.827451
-0.645381,-0.1607843,-0.7345124,0.114734,0.9906542,0.4196078,0.8352941,0.5764706,0.003921559
-0.006512205,0.4313726,-0.2425662,0.004271828,0.2689655,0.7156863,0.7921569,0.6431373,0.6392158
-0.1430515,0.2,-0.4079063,0.05368225,0.4411765,0.6,0.7764706,0.537255,0.4235294
0.04465748,0.345098,0.07150248,0.5888533,0.08982036,0.672549,0.6431372,0.6705883,0.7019608
-0.6243682,-0.1647059,-0.7394861,0.1115981,0.9812207,0.4176471,0.827451,0.5568627,0.007843135
-0.749505,-0.01176471,-0.6618941,0.1348667,1,0.4941176,0.9882353,0.8000003,0
-0.2620987,-0.1176471,-0.6888928,0.05786111,0.7422222,0.4411765,0.7686275,0.3411766,0.1137255
0.09441233,0.6078432,0.1469823,0.5908727,0.22,0.8039216,0.7607843,0.8,0.8470588
0.04691456,0.6039217,0.07303721,0.5908727,0.1089109,0.8019608,0.7803922,0.8000001,0.8235294
-0.03647949,0.9176471,-0.04349921,0.1110667,0.1428571,0.9588236,0.9647059,0.9607843,0.9529412
-0.5718759,-0.1882353,-0.399243,0.153,0.7101449,0.4058824,0.6941177,0.6470588,0.1176471
-0.1618015,-0.3098039,-0.06087113,0.1927313,0.1818182,0.345098,0.3882353,0.4078431,0.282353
-0.5955147,-0.2078431,-0.7390319,0.10795,0.970297,0.3960784,0.7803922,0.509804,0.0117647
-0.6462026,-0.05882353,-0.7389322,0.114361,0.9833333,0.4705882,0.9333333,0.6431374,0.00784313
-0.07528235,0.517647,-0.1086285,0.09645267,0.1544715,0.7588235,0.7960784,0.7647059,0.7215686
0.02592069,0.4509804,-0.05824507,0.93336,0.07142857,0.7254902,0.7450981,0.7058824,0.7215686
-0.4622205,-0.4,-0.7069334,0.09216172,0.9215686,0.3,0.5764706,0.3294118,0.02352941
-0.1004389,0.6196079,-0.3668156,0.04253614,0.484536,0.809804,0.9019608,0.7647059,0.7176471
0.06529853,0.5372549,0.1430488,0.5681545,0.1864407,0.7686275,0.7254902,0.7764706,0.8117647
-0.7608969,-0.007843137,-0.6488253,0.1376261,1,0.4960784,0.9921569,0.819608,0
-0.3060562,-0.3098039,-0.6320989,0.07176616,0.7386364,0.345098,0.6,0.309804,0.09019608
0.04691456,0.6039217,0.07303721,0.5908727,0.1089109,0.8019608,0.7803922,0.8000001,0.8235294
-0.09912653,0.2509804,-0.1347024,0.1009697,0.1727749,0.6254902,0.6901961,0.6392157,0.5607843
0.04254704,0.4000001,-0.09252091,0.9314,0.1111111,0.7,0.7333333,0.6666667,0.6941177
-0.1305731,0.1098039,-0.3857126,0.05195057,0.4096916,0.554902,0.7372549,0.4862746,0.372549
0.01339986,0.1176472,0.02783789,0.5714,0.03111111,0.5588236,0.5450981,0.5607843,0.572549
