X,Y,Z,H,S,L,R,G,B
0.04394108,0.4745098,-0.0488303,0.88338,0.07462685,0.7372549,0.7568628,0.7176471,0.7450981
-0.2349756,-0.4705882,-0.672552,0.05349541,0.8074074,0.2647059,0.4784314,0.1882353,0.0509804
-0.1916022,-0.1411765,-0.6833621,0.04350701,0.716895,0.4294118,0.7372549,0.282353,0.1215686
-0.2043943,-0.3764706,-0.6747395,0.04681328,0.7610063,0.3117647,0.5490196,0.2078433,0.07450981
-0.1562461,-0.1882353,-0.4730426,0.05077335,0.5072464,0.4058824,0.6117647,0.3254902,0.2
0.02263543,0.1686275,0.02951508,0.604125,0.03773585,0.5843138,0.5686275,0.5803922,0.6
0.03263379,0.4549019,0.07662856,0.5640769,0.09352518,0.727451,0.7019607,0.7333333,0.7529412
-0.2182574,-0.1137254,-0.1632506,0.1477903,0.2743363,0.4431373,0.5647059,0.5372549,0.3215687
-0.1603753,0.1176471,-0.2271445,0.09784443,0.28,0.5588235,0.682353,0.5803921,0.4352941
-0.02718647,0.01568627,0.00620255,0.2856999,0.02788847,0.5078431,0.5019608,0.5215687,0.4941176
-0.1907733,-0.3686274,-0.0961412,0.1757054,0.2298137,0.3156863,0.3803922,0.3882353,0.2431373
-0.2245124,-0.1372548,-0.1946758,0.1363091,0.3,0.4313726,0.5607843,0.5137255,0.3019608
-0.6751659,-0.5019608,-0.4231116,0.1609043,0.9212599,0.2490196,0.4784314,0.4627451,0.01960783
-0.3118683,-0.3137255,-0.1867909,0.1641135,0.3828572,0.3431373,0.4745098,0.4705883,0.2117647
-0.2793918,-0.2470588,-0.2162129,0.14518,0.3645833,0.3764706,0.5137255,0.4784314,0.2392157
-0.1207135,-0.04313719,-0.08459363,0.1527167,0.147541,0.4784314,0.5490196,0.5372549,0.4078431
-0.1503501,-0.2588235,-0.04995578,0.1989452,0.1640211,0.3705882,0.4078431,0.4313726,0.3098039
-0.034087,-0.003921509,-0.01969918,0.1666,0.0393701,0.4980392,0.5176706,0.5176471,0.4784314
-0.1118207,-0.1960784,-0.06462216,0.1666,0.1317073,0.4019608,0.4549655,0.454902,0.3490196
-0.5880002,-0.5411764,-0.3745576,0.1597299,0.8290598,0.2294118,0.4196079,0.4039216,0.03921569
-0.05542457,-0.04705882,-0.02701993,0.1778066,0.06172842,0.4764706,0.5019608,0.5058824,0.4470588
-0.2866238,-0.1019608,-0.1549035,0.1711427,0.3275109,0.4490196,0.5882353,0.5960785,0.3019608
-0.4523968,-0.6,-0.2515864,0.1692243,0.6470588,0.2,0.3254901,0.3294117,0.07058822
-0.03067663,0.05098045,0.02760508,0.36662,0.04132231,0.5254902,0.5058824,0.5450981,0.5137255
-0.08728789,-0.2156863,-0.01019838,0.2314889,0.09,0.3921569,0.4,0.427451,0.3568628
-0.4336534,-0.8117647,-0.2208545,0.17503,0.8333333,0.09411764,0.1647059,0.172549,0.01568628
-0.4266759,-0.4196078,-0.6880113,0.08834849,0.8918919,0.2901961,0.5490196,0.3058824,0.03137255
-0.3611803,-0.09803921,-0.680245,0.07768429,0.773913,0.4509804,0.8,0.4274511,0.1019608
-0.2738495,0.1490196,-0.6411626,0.06424446,0.7050691,0.5745098,0.8745098,0.5058824,0.2745098
-0.4024397,-0.007843137,-0.6849673,0.08454324,0.7944664,0.4960784,0.8901961,0.5019606,0.1019608
-0.6154117,-0.5372549,-0.441927,0.150883,0.8983051,0.2313725,0.4392157,0.3999999,0.02352942
-0.4662262,-0.4352941,-0.2921076,0.1609205,0.6111111,0.282353,0.454902,0.4431373,0.1098039
-0.3644301,-0.7960784,-0.1541813,0.1863,0.6538461,0.1019608,0.1529412,0.1686274,0.03529412
0.05837382,0.2470589,0.0696067,0.6110666,0.09375001,0.6235294,0.5882353,0.6117647,0.6588235
0.08495373,0.345098,0.1648643,0.5757273,0.1976048,0.672549,0.6078431,0.6784313,0.7372549
-0.005440036,0.2745099,-0.18184,0.004759958,0.1891892,0.637255,0.7058824,0.572549,0.5686275
-0.3731824,-0.0745098,-0.6820788,0.07967825,0.779661,0.4627451,0.8235294,0.4470588,0.1019608
-0.3837633,-0.2392157,-0.6335751,0.08667707,0.7628866,0.3803922,0.6705883,0.392157,0.09019609
-0.4228988,-0.7490196,-0.1692285,0.1894182,0.6875,0.1254902,0.1882353,0.2117647,0.03921568
-0.2039839,0.0862745,-0.1333848,0.1578316,0.2446352,0.5431373,0.654902,0.6431373,0.4313725
-0.4020881,-0.2745098,-0.2069157,0.1743598,0.4702703,0.3627451,0.5176471,0.5333334,0.1921569
-0.1904852,-0.4549019,-0.05622559,0.2043193,0.2230216,0.272549,0.3058824,0.3333333,0.2117647
-0.1531839,0.1607844,-0.03353395,0.2157,0.1588785,0.5803922,0.6078432,0.6470588,0.5137255
-0.109927,0.082353,-0.01334217,0.2307769,0.1111111,0.5411765,0.5529412,0.5921569,0.4901961
-0.01534002,0.2392157,0.03698478,0.437425,0.04123711,0.6196079,0.6039216,0.6352941,0.6235294
0.04867638,0.4039216,-0.0353935,0.85006,0.06578948,0.7019608,0.7215686,0.682353,0.7176471
-0.09339797,0.07058823,-0.1838745,0.07480006,0.2067511,0.5352941,0.6313726,0.5254903,0.4392157
-0.06145313,0.3176471,0.02235737,0.3055333,0.06896552,0.6588235,0.6431373,0.682353,0.6352941
-0.01717806,0.4117647,-0.01718885,0.12495,0.02666667,0.7058824,0.7137255,0.7098039,0.6980392
0.02052444,0.4862745,-0.05641494,0.9444667,0.06870229,0.7431372,0.7607843,0.7254902,0.7372549
-0.02127422,0.254902,-0.2126893,0.01586668,0.2210526,0.627451,0.7098039,0.5607843,0.5450981
-0.1112951,0.4000001,-0.3731243,0.04613535,0.4248366,0.7,0.827451,0.6431373,0.5725491
-0.09620468,0.6470588,-0.3249189,0.04581501,0.4444444,0.8235294,0.9019608,0.7882353,0.7450981
-0.0915091,0.7411765,-0.1585751,0.0833,0.2727273,0.8705882,0.9058824,0.8705882,0.8352941
-0.08588553,0.862745,-0.1337076,0.09087278,0.3142857,0.9313725,0.9529412,0.9333333,0.9098039
-0.07361656,0.9490197,-0.1529366,0.07139999,0.5384616,0.9745098,0.9882353,0.9725491,0.9607844
-0.07640789,0.9176471,-0.1522112,0.07404449,0.4285714,0.9588236,0.9764706,0.9568628,0.9411765
-0.7187188,-0.01176471,-0.672172,0.1303242,0.984127,0.4941176,0.9803922,0.7686276,0.007843137
-0.720789,-0.02352941,-0.6811157,0.1295028,0.9919679,0.4882353,0.972549,0.7568626,0.003921576
-0.6580445,-0.06274509,-0.7279962,0.1169745,0.9832636,0.4686275,0.9294118,0.6549019,0.007843131
-0.6189972,-0.2039216,-0.7459667,0.1102378,0.9901478,0.3980392,0.7921569,0.5254902,0.003921574
-0.594228,-0.2352941,-0.743756,0.1072869,0.9794872,0.3823529,0.7568628,0.4901962,0.007843137
-0.6256363,-0.1098039,-0.7151197,0.1143936,0.9559472,0.445098,0.8705882,0.6039217,0.01960783
-0.6845336,0.137255,-0.5850562,0.137445,0.9090909,0.5686275,0.9607843,0.8235294,0.1764706
0.1566267,0.7764707,0.1038735,0.6568,0.2982456,0.8882353,0.854902,0.8588236,0.9215686
0.03862417,0.7333333,0.010371,0.70825,0.05882353,0.8666667,0.8627451,0.8588235,0.8745098
0,0.8980392,0,1,0,0.9490196,0.9490196,0.9490196,0.9490196
0.01846294,0.9137255,-0.03199422,0.9167,0.09090909,0.9568627,0.9607843,0.9529412,0.9568627
0.1068827,0.7450981,0.1107484,0.6221733,0.2307692,0.8725491,0.8431373,0.8588236,0.9019608
0.04468117,0.8078432,0.04025823,0.63328,0.1020408,0.9039216,0.8941177,0.8980393,0.9137255
0,0.8823529,0,1,0,0.9411765,0.9411765,0.9411765,0.9411765
-0.6273469,0.1294118,-0.5715398,0.1324032,0.8558559,0.5647059,0.9372549,0.7843138,0.1921569
-0.631522,-0.0745098,-0.7163368,0.1149983,0.9576271,0.4627451,0.9058824,0.6313727,0.01960784
-0.6102447,-0.1607843,-0.7401962,0.1097317,0.9719626,0.4196078,0.827451,0.5490194,0.0117647
-0.6351121,-0.1254902,-0.762158,0.1105686,1,0.4372549,0.8745098,0.5803922,0
-0.6417805,-0.03137255,-0.6796311,0.1204424,0.9352227,0.4843137,0.9372549,0.6862744,0.03137254
-0.7551458,0.1215687,-0.6441863,0.1375938,1,0.5607843,1,0.847059,0.1215687
-0.7116907,-0.06666666,-0.6873065,0.1277737,0.9915966,0.4666667,0.9294118,0.7137256,0.003921568
-0.7192515,0,-0.6834124,0.1290656,0.9921569,0.5,0.9960784,0.7725492,0.003921568
-0.6922775,-0.0862745,-0.7164556,0.1222687,1,0.4568627,0.9137256,0.6705884,-5.446228E-08
