PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.2041692,-0.04313719,-0.2767867,0.10115,0.3442623,0.4784314,164,131,80
-0.07242896,0.04313731,-0.378011,0.03012978,0.3852459,0.5215687,180,103,86
2.767005E-09,0.5254903,-0.2320363,1,0.2727273,0.7627451,211,178,178
-0.2925568,0.1019608,-0.7110654,0.06212209,0.7729258,0.5509804,229,118,51
-0.3644468,-0.3529412,-0.5543957,0.09255551,0.7090909,0.3235294,141,88,24
0.07801979,0.4784315,0.06100138,0.6443866,0.1127819,0.7392157,181,183,196
0.1026906,0.5607843,0.1624733,0.5897077,0.2321429,0.7803922,186,198,212
0.01182044,0.3529413,0.07276366,0.5256308,0.07878788,0.6764706,166,177,179
-0.0200088,0.2117648,-0.05995937,0.05126156,0.06467662,0.6058824,161,152,148
-0.6731945,0.003921628,-0.6852772,0.1235844,0.9606299,0.5019608,250,187,6
-0.6612808,-0.06274509,-0.7250578,0.1176834,0.9832636,0.4686275,237,167,1
-0.6603895,-0.007843137,-0.6973807,0.1206651,0.9604743,0.4960784,248,181,4
-0.6518179,-0.1058823,-0.7393586,0.1149983,0.9912281,0.4470588,227,157,0
-0.6841706,-0.1137255,-0.7204006,0.1208956,1,0.4431373,226,164,0
-0.688866,0.01568627,-0.7025717,0.1234324,0.9840638,0.5078431,253,188,5
0.02897159,0.3764706,0.003062214,0.73324,0.03144654,0.6882353,174,172,178
0.06356165,0.5254903,0.1175074,0.5789158,0.1570248,0.7627451,185,195,204
-0.009869407,0.2,0.0270748,0.4443667,0.02941176,0.6,150,156,154
-0.702574,-0.05882353,-0.7091752,0.1242558,0.9999999,0.4705882,240,178,0
0.01073576,0.7647059,-0.01860388,0.9167,0.03333333,0.8823529,226,224,225
-0.4091488,-0.4862745,-0.1797898,0.184106,0.5114504,0.2568628,91,99,32
0.0579152,0.4549019,0.1070687,0.5789158,0.1366906,0.727451,175,186,195
-0.614458,-0.2313725,-0.7542599,0.1088,1,0.3843137,196,127,0
-0.02044776,0.7294118,-0.06631814,0.04760004,0.1014493,0.8647059,224,219,217
-0.07640789,0.9176471,-0.1522112,0.07404449,0.4285714,0.9588236,249,244,240
-0.7309087,0.01176476,-0.6227796,0.137686,0.9603174,0.5058824,250,208,8
-0.380731,-0.003921568,-0.5116839,0.1018111,0.6377953,0.4980392,208,144,46
-0.0187492,0.4352942,-0.03249028,0.0833,0.04166667,0.7176471,186,183,180
-0.05663783,0.227451,-0.3263084,0.02735225,0.3401015,0.6137255,190,133,122
-0.3005936,-0.09019607,-0.6555557,0.06842498,0.7241379,0.454902,200,100,32
0.02372715,0.8156862,0.02829297,0.6110666,0.06382979,0.9078431,229,230,233
0.05498537,0.3411765,-0.03853266,0.8472834,0.07142857,0.6705883,177,165,176
-0.759528,0.05490196,-0.6481536,0.137566,1,0.527451,255,213,13
-0.6494612,-0.06274509,-0.7132301,0.1175576,0.9665272,0.4686275,235,166,3
-0.06448623,0.8862746,-0.1284622,0.07404453,0.3103448,0.9431373,245,240,236
-0.1644918,-0.2588235,-0.07027577,0.18574,0.1851852,0.3705882,108,112,77
-0.634522,-0.1058823,-0.7542543,0.1113124,0.991228,0.4470588,227,152,1
0.1176453,0.7411765,0.1402838,0.6110666,0.2727273,0.8705882,213,219,231
-0.5032446,-0.2509804,-0.6551073,0.1042527,0.8534032,0.3745098,177,115,13
0.01245037,0.8196079,-0.02157511,0.9167,0.04347826,0.9098039,233,231,232
0.08099996,0.3333334,0.1056185,0.604125,0.1411765,0.6666667,158,167,182
-0.5600957,-0.1137255,-0.7227648,0.104926,0.920354,0.4431373,217,140,8
-0.5811183,-0.1843137,-0.7211661,0.10795,0.9423077,0.4078431,202,133,5
-0.489399,-0.4705882,-0.3144245,0.1591124,0.6592593,0.2647059,112,108,23
-0.1138531,0.8901961,-0.1972947,0.0833,0.5,0.945098,248,241,234
0.09645373,0.6156863,0.1671436,0.5833,0.244898,0.8078431,194,206,218
-0.3437277,0.04313731,-0.7070272,0.07201979,0.7868853,0.5215687,229,120,37
0.1131786,0.7098039,0.1761978,0.5908727,0.2972973,0.854902,207,217,229
0.01980887,0.2980392,0.01784801,0.63328,0.02793296,0.6490196,162,163,168
-0.04947209,0.5215687,-0.1003658,0.07288752,0.1311475,0.7607843,202,193,186
0.08480984,0.7333333,0.08486315,0.62495,0.1764706,0.8666667,215,218,227
0.08849565,0.5568628,0.1610497,0.579968,0.2212389,0.7784314,186,199,211
0.1148075,0.5058824,0.1702963,0.5944067,0.2380952,0.7529412,177,190,207
-0.4815926,-0.2,-0.2605014,0.1710842,0.5588235,0.4,156,159,45
-0.6738989,-0.08235294,-0.7342196,0.1181863,0.9999999,0.4588235,234,166,0
-0.7909278,-0.4392157,-0.426055,0.1713601,1,0.2803922,138,143,0
-0.6000694,-0.1294118,-0.7325183,0.109233,0.954955,0.4352941,217,143,4
0.08690242,0.5529412,0.1352908,0.5908727,0.1929825,0.7764706,187,197,209
0.1036263,0.6784314,0.1235671,0.6110666,0.2195122,0.8392157,205,211,223
-0.01690398,0.6666667,-0.0201568,0.1110667,0.03529412,0.8333334,214,213,211
-0.3553295,-0.1058823,-0.6705382,0.0775552,0.7631579,0.4470588,201,108,26
-0.6410266,-0.1098039,-0.7596236,0.111556,1,0.445098,227,152,0
0.1204976,0.5803921,0.184912,0.5919172,0.271028,0.7901961,186,200,216
-0.2489441,0.2039216,-0.3960507,0.08931132,0.4778325,0.6019608,202,156,104
-0.06993897,0.7176471,-0.2415593,0.04485385,0.3611111,0.8588235,232,213,206
-0.1041147,0.5764706,-0.1487685,0.09718335,0.2222222,0.7882353,213,203,189
-0.04386136,0.862745,-0.09112091,0.07139999,0.2,0.9313725,241,236,233
-0.02499177,0.2431374,-0.002625686,0.23334,0.02590674,0.6215687,159,161,156
-0.4261542,-0.3019608,-0.693617,0.08768422,0.8539326,0.3490196,165,93,13
-0.6037787,-0.172549,-0.7782531,0.1050132,0.9999999,0.4137255,210,132,0
-0.4454387,-0.2509804,-0.5971668,0.102,0.7696336,0.3745098,169,111,21
-0.6042182,-0.2509804,-0.75626,0.107287,1,0.3745098,191,123,0
-0.371842,-0.05882353,-0.6879109,0.07886918,0.7833333,0.4705882,214,115,26
-0.08312437,0.1686275,-0.009711927,0.2314889,0.08490566,0.5843138,151,158,140
0.01487567,-0.1960784,0.06037813,0.5384461,0.06341463,0.4019608,96,106,109
-0.0915985,0.01568627,-0.002084793,0.2463783,0.09163349,0.5078431,129,141,117
0.114599,0.6313726,0.1813144,0.5897077,0.2765957,0.8156863,195,207,221
-0.07361656,0.9490197,-0.1529366,0.07139999,0.5384616,0.9745098,252,248,245
-0.6144072,-0.1490196,-0.7276885,0.1115981,0.9631336,0.4254902,213,144,4
-0.08347059,0.07450986,0.01321504,0.27499,0.08474579,0.5372549,134,147,127
-0.06932639,0.2,-0.05165172,0.1480889,0.0882353,0.6,162,160,144
-0.5936797,-0.5803921,-0.5349118,0.13328,0.9813083,0.2098039,106,85,1
0.09217197,0.5529412,0.04443865,0.6785,0.122807,0.7764706,192,191,205
-0.6424528,-0.1058823,-0.7589751,0.1117974,1,0.4470588,228,153,0
-0.05091647,0.9568627,-0.06071429,0.1110667,0.2727273,0.9784313,251,250,247
-0.3095631,-0.03921568,-0.6431098,0.07139999,0.7142857,0.4803922,210,109,34
0.04593797,0.2862746,-0.05763622,0.8929,0.07692308,0.6431373,171,157,166
0.09325385,0.6,0.1451788,0.5908727,0.2156863,0.8,193,203,215
-0.2087405,-0.3843137,-0.120633,0.1666,0.2611465,0.3078431,99,99,58
0.03682705,0.7294118,-0.03318157,0.86672,0.07246377,0.8647059,223,218,222
-0.7045993,-0.01960784,-0.6517558,0.1311975,0.96,0.4901961,245,194,4
-0.6111296,-0.1176471,-0.714349,0.112631,0.9466667,0.4411765,219,150,6
0.01187113,0.3607843,-0.050109,0.9629778,0.05521473,0.6803921,178,168,170
-0.08724497,0.1568627,-0.002403943,0.2456158,0.0883721,0.5784314,148,157,137
-0.1963501,-0.3568627,-0.2217629,0.1153385,0.3170732,0.3215686,108,92,56
