PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
0,-0.6980392,0,1,0,0.1509804,38,38,38
0.04556312,-0.2901961,0.0514602,0.6153384,0.0718232,0.354902,84,88,97
0.04479304,-0.2745098,0.05059045,0.6153384,0.07027026,0.3627451,86,90,99
0.02191978,-0.1372549,0.02858192,0.604125,0.03636364,0.4313726,106,109,114
0.01652573,0.1254902,0.01488987,0.63328,0.02242152,0.5627451,140,141,146
0.008595124,0.2313726,0.004967199,0.6666,0.01020408,0.6156863,156,156,158
0.007922499,0.1529412,0.004578483,0.6666,0.009259259,0.5764706,146,146,148
0.009519397,-0.3254902,0.005501345,0.6666,0.01162791,0.3372549,85,85,87
0.01697678,-0.4705882,-0.009811033,0.8334,0.02222222,0.2647059,69,66,69
0.006843572,-0.5058823,-0.01185917,0.9167001,0.01587304,0.2470588,64,62,63
0.01953735,-0.572549,-0.01129081,0.8334,0.02752293,0.2137255,56,53,56
0.01750551,-0.4941176,-0.01011659,0.8334,0.02325584,0.2529412,66,63,66
0.01052013,-0.4117647,0.006079675,0.6666,0.01333333,0.2941177,74,74,76
-0.474203,-0.7607843,-0.1586959,0.1986021,0.7704918,0.1196078,44,53,7
-0.2554443,-0.5333333,-0.06264043,0.211727,0.3109244,0.2333333,67,78,41
-0.4967757,-0.6745098,-0.1691746,0.197761,0.7108434,0.1627451,59,71,11
-0.5553514,-0.6745098,-0.1607916,0.2051462,0.7831326,0.1627451,58,74,8
-0.08331234,-0.8196079,-0.09258228,0.11662,0.2173913,0.09019607,27,25,17
-0.01522421,-0.5529412,-0.08637597,0.02776669,0.1052632,0.2235294,62,52,50
0.02556809,-0.8392157,0.03048816,0.6110666,0.07317072,0.08039215,18,19,21
-0.04756806,-0.7490196,-0.03994262,0.1388334,0.09375002,0.1254902,34,33,28
0.007475425,-0.5686275,-0.01295408,0.9167,0.01818182,0.2156863,55,53,54
